,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%_x,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,nba_id,Team,DPM,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%_y,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Tov/100
0,0,1,1,MIN,Anthony Edwards,Georgia,1,72,2314,1392,336,211,0.417,0.329,0.776,32.1,19.3,4.7,2.9,0.8,0.017,-2.6,-0.3,8.06,,,8.06,1630162,Minnesota Timberwolves,0.55,1.9,-1.35,1.37,2.42,-1.05,23.889,0.521,10.772,0.326,0.451,6.63,0.782,0.288,0.265,7.73,4.975,0.165,0.786,0.01,3.317
1,1,2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,0.519,0.316,0.628,21.4,11.5,5.8,0.7,0.7,0.042,-5.4,-0.7,5.07,,,5.07,1630164,Golden State Warriors,-3.53,-3,-0.53,-3.46,-3.04,-0.42,21.19,0.529,2.43,0.229,0.125,5.301,0.64,0.245,0.244,13.061,1.491,0.059,1.993,0.021,3.068
2,3,4,4,CHI,Patrick Williams,Florida State,1,71,1983,655,327,99,0.483,0.391,0.728,27.9,9.2,4.6,1.4,2.5,0.06,-2.7,-0.3,7.64,,,7.64,1630172,Chicago Bulls,-1.88,-1.73,-0.15,-0.97,-1.39,0.42,15.238,0.521,4.204,0.354,0.292,3.637,0.741,0.26,0.175,8.075,2.818,0.089,1.017,0.011,2.062
3,4,5,5,CLE,Isaac Okoro,Auburn,1,67,2173,646,206,128,0.42,0.29,0.726,32.4,9.6,3.1,1.9,0.9,0.02,-5,-1.6,7.39,,,7.39,1630171,Cleveland Cavaliers,-2.36,-1.7,-0.66,-2.26,-1.6,-0.66,16.086,0.517,6.013,0.327,0.369,4.548,0.753,0.32,0.181,5.6,3.545,0.12,0.518,0.006,2.349
4,5,6,6,ATL,Onyeka Okongwu,USC,1,50,601,228,163,18,0.644,0,0.632,12,4.6,3.3,0.4,1.9,0.155,-1.3,0.1,7.22,,,7.22,1630168,Atlanta Hawks,-0.54,-0.99,0.45,-0.05,-0.83,0.78,11.917,0.599,0.812,0.226,0.043,4.924,0.665,0.349,0.141,13.814,1.246,0.035,2.569,0.031,2.051
5,7,8,8,NYK,Obi Toppin,Dayton,1,62,683,253,138,29,0.498,0.306,0.731,11,4.1,2.2,0.5,1.5,0.109,-1,0.2,3.69,,,3.3,1630167,New York Knicks,-0.26,-0.3,0.04,-0.14,-0.2,0.06,16.27,0.572,7.272,0.318,0.437,3.076,0.738,0.212,0.17,10.187,1.918,0.065,1.096,0.011,1.579
6,9,10,10,PHO,Jalen Smith,Maryland,1,27,156,53,37,4,0.44,0.235,0.714,5.8,2,1.4,0.1,0.1,0.022,-6.2,-0.2,10.5,,,10.3,1630188,Phoenix Suns,-3.02,-2.38,-0.64,-3.02,-2.4,-0.62,17.186,0.496,4.416,0.311,0.292,4.439,0.66,0.253,0.197,12.216,1.51,0.051,1.24,0.015,2.61
7,10,11,11,SAS,Devin Vassell,Florida State,1,62,1056,341,174,56,0.406,0.347,0.843,17,5.5,2.8,0.9,1.5,0.069,-1.9,0.1,8.95,,,8.95,1630170,San Antonio Spurs,-1.52,-1.52,0,-1.45,-1.49,0.04,15.584,0.477,6.607,0.35,0.451,2.613,0.808,0.194,0.155,7.667,2.544,0.081,0.722,0.008,1.324
8,11,12,12,SAC,Tyrese Haliburton,Iowa State,1,58,1746,753,173,309,0.472,0.409,0.857,30.1,13,3,5.3,3.5,0.096,1.1,1.4,9.68,,,9.68,1630169,Sacramento Kings,-0.72,0.43,-1.15,0.23,0.87,-0.64,20.605,0.487,9.199,0.36,0.488,3.046,0.784,0.152,0.221,4.899,8.506,0.274,0.642,0.008,3.098
9,12,13,13,NOP,Kira Lewis Jr.,Alabama,1,54,904,343,71,124,0.386,0.333,0.843,16.7,6.4,1.3,2.3,0.9,0.045,-3.8,-0.4,8.56,,,8.56,1630184,New Orleans Pelicans,-2.27,-1.46,-0.81,-2.29,-1.46,-0.83,17.612,0.474,6.311,0.322,0.36,3.217,0.807,0.188,0.183,4.621,6.537,0.197,0.583,0.007,2.114
10,13,14,14,BOS,Aaron Nesmith,Vanderbilt,1,46,669,218,127,23,0.438,0.37,0.786,14.5,4.7,2.8,0.5,1.1,0.076,-3.2,-0.2,7.1,,,7.1,1630174,Boston Celtics,-2.36,-1.42,-0.93,-2.39,-1.46,-0.93,14.258,0.505,8.449,0.345,0.602,2.943,0.779,0.225,0.146,9.584,1.841,0.058,0.771,0.008,1.491
11,14,15,15,ORL,Cole Anthony,UNC,1,47,1273,605,221,192,0.397,0.337,0.832,27.1,12.9,4.7,4.1,0,-0.001,-3.3,-0.4,10.05,,,10.05,1630175,Orlando Magic,-2.96,-1.68,-1.28,-2.75,-1.58,-1.17,23.29,0.449,7.54,0.335,0.342,5.702,0.811,0.252,0.249,8.445,8.225,0.271,0.612,0.007,3.905
12,15,16,16,POR,Isaiah Stewart,Washington,1,68,1455,537,453,59,0.553,0.333,0.696,21.4,7.9,6.7,0.9,4,0.132,-1.2,0.3,8.25,,,8.25,1630191,Detroit Pistons,-0.8,-1.46,0.66,-0.47,-1.15,0.68,16.182,0.545,4.521,0.303,0.29,3.948,0.719,0.234,0.185,14.634,1.905,0.065,3.132,0.035,2.311
13,17,18,18,DAL,Josh Green,Arizona,1,39,445,101,78,28,0.452,0.16,0.565,11.4,2.6,2,0.7,0.5,0.05,-3.7,-0.2,8.4,,,8.4,1630182,Dallas Mavericks,-1.21,-1.7,0.49,-1.09,-1.66,0.57,12.333,0.512,3.266,0.263,0.284,3.615,0.619,0.24,0.138,8.513,3.153,0.091,0.504,0.006,2.125
14,18,19,19,BRK,Saddiq Bey,Villanova,1,70,1909,857,318,95,0.404,0.38,0.844,27.3,12.2,4.5,1.4,3.3,0.082,-0.8,0.6,9,,,9,1630180,Detroit Pistons,-1.03,-0.63,-0.4,-0.87,-0.41,-0.46,17.928,0.468,11.124,0.362,0.63,4.291,0.827,0.228,0.187,8.069,2.277,0.075,0.479,0.005,1.496
15,19,20,20,MIA,Precious Achiuwa,Memphis,1,61,737,304,208,29,0.544,0,0.509,12.1,5,3.4,0.5,1.3,0.085,-4.5,-0.5,5.07,,,5.07,1630173,Miami Heat,-3.21,-2.67,-0.54,-3.2,-2.7,-0.5,16.059,0.547,1.091,0.236,0.06,7.352,0.51,0.425,0.198,13.978,1.62,0.062,1.869,0.022,2.769
16,20,21,21,PHI,Tyrese Maxey,Kentucky,1,61,935,488,104,120,0.462,0.301,0.871,15.3,8,1.7,2,1.9,0.099,-1.9,0,7.46,,,7.46,1630178,Philadelphia 76ers,-1.06,-0.66,-0.4,-0.49,-0.42,-0.07,21.829,0.496,5.416,0.289,0.237,4.994,0.78,0.249,0.227,5.979,5.777,0.187,0.847,0.01,2.458
17,21,22,22,DEN,Zeke Nnaji,Arizona,1,42,397,136,65,10,0.481,0.407,0.8,9.5,3.2,1.5,0.2,0.9,0.104,-2.1,0,8.4,,,8.4,1630192,Denver Nuggets,-1.74,-0.73,-1.01,-1.53,-0.58,-0.95,16.025,0.541,10.043,0.329,0.65,3.326,0.721,0.19,0.163,8.631,1.775,0.06,0.715,0.008,1.59
18,24,25,25,OKC,Immanuel Quickley,Kentucky,1,64,1243,731,137,127,0.395,0.389,0.891,19.4,11.4,2.1,2,3.2,0.125,0.6,0.8,8.87,,,8.87,1630193,New York Knicks,0.43,0.9,-0.47,0.25,0.85,-0.6,20.469,0.464,11.187,0.355,0.535,6.175,0.837,0.274,0.216,5.274,3.937,0.128,0.362,0.004,2.134
19,25,26,26,BOS,Payton Pritchard,Oregon,1,66,1268,510,158,120,0.44,0.411,0.889,19.2,7.7,2.4,1.8,2.5,0.095,-1.1,0.3,7.11,,,7.11,1630202,Boston Celtics,-0.5,0.24,-0.74,-0.28,0.42,-0.7,17.876,0.486,11.697,0.364,0.634,2.534,0.839,0.148,0.178,6.237,4.64,0.152,0.327,0.004,2.17
20,26,27,27,UTA,Udoka Azubuike,Kansas,1,15,57,16,13,0,0.444,,0.8,3.8,1.1,0.9,0,0.1,0.119,-4.9,0,12.13,,,12.13,1628962,Utah Jazz,-1.98,-2.18,0.2,-1.96,-2.18,0.22,15.791,0.512,3.139,0.23,0.174,7.211,0.637,0.309,0.177,12.542,1.75,0.047,2.235,0.027,3.174
21,27,28,28,LAL,Jaden McDaniels,Washington,1,63,1511,427,232,71,0.447,0.364,0.6,24,6.8,3.7,1.1,1.4,0.046,-3.8,-0.7,8.25,,,8.25,1630183,Minnesota Timberwolves,-1.96,-2.08,0.12,-1.92,-2.35,0.43,10.388,0.54,6.148,0.341,0.584,1.623,0.694,0.133,0.104,7.073,1.868,0.057,1.617,0.02,1.069
22,28,29,29,TOR,Malachi Flynn,San Diego State,1,47,928,353,116,137,0.374,0.321,0.804,19.7,7.5,2.5,2.9,0.8,0.041,-2.8,-0.2,5.34,,,,1630201,Toronto Raptors,-1.59,-1.22,-0.37,-1.46,-1.14,-0.32,20.363,0.462,9.572,0.337,0.505,4.503,0.812,0.196,0.217,6.202,8.079,0.258,0.309,0.003,3.025
23,29,30,30,BOS,Desmond Bane,TCU,1,68,1519,625,210,118,0.469,0.432,0.816,22.3,9.2,3.1,1.7,2.9,0.093,-1,0.4,10.08,,,10.08,1630217,Memphis Grizzlies,-0.76,-0.46,-0.3,-0.36,-0.35,-0.01,14.41,0.518,8.697,0.382,0.619,1.899,0.793,0.145,0.142,7.121,3.611,0.107,0.71,0.008,1.697
24,30,31,31,DAL,Tyrell Terry,Stanford,1,11,56,11,6,6,0.313,0,0.333,5.1,1,0.5,0.5,-0.1,-0.049,-5.5,-0.1,6.38,,,6.38,1630179,Dallas Mavericks,-1.64,-1.19,-0.45,-1.63,-1.18,-0.45,18.035,0.459,7.962,0.29,0.416,4.413,0.691,0.216,0.184,6.107,5.878,0.184,0.467,0.005,2.865
25,31,32,32,CHO,Vernon Carey Jr.,Duke,1,19,115,46,27,2,0.5,0.143,0.818,6.1,2.4,1.4,0.1,0.2,0.066,-6.2,-0.1,8,,,8,1630176,Charlotte Hornets,-2.42,-2.37,-0.06,-2.41,-2.38,-0.03,17.115,0.5,2.799,0.244,0.161,6.238,0.681,0.323,0.205,12.457,1.564,0.048,1.982,0.022,2.686
26,32,33,33,MIN,Daniel Oturu,Minnesota,1,30,161,54,48,10,0.423,0.2,0.75,5.4,1.8,1.6,0.3,0.3,0.081,-5.6,-0.1,11.41,,,11.41,1630187,Los Angeles Clippers,-2.76,-2.62,-0.15,-2.76,-2.64,-0.12,16.808,0.523,3.893,0.286,0.203,4.871,0.664,0.255,0.195,14.084,1.93,0.064,1.993,0.021,2.648
27,35,36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6,3.9,1,1.1,0.2,0,-0.033,-9.6,-0.1,6.31,,,6.31,1630189,Dallas Mavericks,-3.25,-2.53,-0.72,-3.25,-2.54,-0.71,15.963,0.485,4.607,0.272,0.283,4.381,0.657,0.249,0.185,10.77,2.634,0.078,0.852,0.008,2.139
28,37,38,38,UTA,Saben Lee,Vanderbilt,1,48,781,267,97,174,0.471,0.348,0.685,16.3,5.6,2,3.6,1.5,0.091,-1.9,0,8.11,,,8.11,1630240,Detroit Pistons,-0.83,-0.91,0.07,-0.51,-0.7,0.19,13.98,0.484,1.772,0.286,0.113,6.001,0.72,0.436,0.171,6.304,11.046,0.332,0.662,0.007,3.736
29,38,39,39,NOP,Elijah Hughes,Syracuse,1,18,64,31,9,6,0.333,0.348,0.75,3.6,1.7,0.5,0.3,0,-0.013,-3.7,0,6.22,,,,1630190,Utah Jazz,-1.9,-1.34,-0.57,-1.89,-1.34,-0.55,19.334,0.468,13.441,0.319,0.686,4.195,0.726,0.254,0.194,7.791,3.42,0.111,0.608,0.006,2.769
30,39,40,40,MEM,Robert Woodard,Mississippi State,1,13,45,20,16,2,0.4,0.167,0.375,3.5,1.5,1.2,0.2,0,-0.011,-5.4,0,8.02,,,7.08,1630218,Sacramento Kings,-1.75,-1.62,-0.13,-1.74,-1.62,-0.12,17.096,0.499,9.272,0.311,0.556,5.239,0.665,0.211,0.177,10.278,2.56,0.082,1.269,0.015,2.361
31,40,41,41,SAS,Tre Jones,Duke,1,37,269,94,21,39,0.474,0.6,0.895,7.3,2.5,0.6,1.1,0.4,0.066,-3.4,-0.1,9.99,,,9.99,1630200,San Antonio Spurs,-3.53,-1.99,-1.54,-3.56,-1.98,-1.58,13.84,0.488,1.615,0.311,0.095,3.565,0.802,0.21,0.164,4.724,7.027,0.218,0.128,0.001,3
32,41,42,42,NOP,Nick Richards,Kentucky,1,18,63,15,11,2,0.444,0,0.636,3.5,0.8,0.6,0.1,0,0.026,-8.7,-0.1,9.49,,,9.49,1630208,Charlotte Hornets,-2.72,-2.71,-0.01,-2.72,-2.72,0,12.177,0.516,3.358,0.254,0.257,6.127,0.611,0.32,0.158,11.286,2.178,0.065,1.351,0.015,2.473
33,42,43,43,SAC,Jahmi'us Ramsey,Texas Tech,1,13,94,40,10,6,0.395,0.263,1,7.2,3.1,0.8,0.5,0,0.012,-4.7,-0.1,8.41,,,8.41,1630186,Sacramento Kings,-1.94,-1.38,-0.56,-1.93,-1.38,-0.55,17.466,0.487,9.048,0.31,0.516,3.415,0.775,0.193,0.18,5.598,4.07,0.115,0.485,0.006,2.284
34,44,45,45,MIL,Jordan Nwora,Louisville,1,30,274,171,60,7,0.459,0.452,0.76,9.1,5.7,2,0.2,0.4,0.068,-1.3,0,9.22,,,9.22,1629670,Milwaukee Bucks,-1.88,-0.73,-1.16,-1.86,-0.65,-1.21,23.175,0.482,11.16,0.33,0.456,5.822,0.713,0.22,0.257,11.277,1.678,0.045,1.042,0.012,3.317
35,45,46,46,POR,CJ Elleby,Washington State,1,30,192,68,32,10,0.379,0.206,0.733,6.4,2.3,1.1,0.3,0.1,0.032,-5.6,-0.2,3.57,,,3.57,1629604,Portland Trail Blazers,-2.01,-1.62,-0.39,-1.96,-1.61,-0.35,16.868,0.482,8.024,0.313,0.46,4.922,0.708,0.268,0.19,8.375,2.921,0.089,0.663,0.007,2.385
36,47,48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-4.1,-0.2,8.4,,,8.4,1630185,Golden State Warriors,-2.15,-1.64,-0.5,-2.11,-1.61,-0.5,14.988,0.466,8.16,0.33,0.537,4.045,0.777,0.243,0.179,5.596,8.243,0.245,0.254,0.003,3.842
37,48,49,49,PHI,Isaiah Joe,Arkansas,1,41,383,153,36,20,0.361,0.368,0.75,9.3,3.7,0.9,0.5,0.6,0.078,-3.5,-0.1,8.02,,,8.02,1630198,Philadelphia 76ers,-1.28,-0.7,-0.58,-1.19,-0.63,-0.56,18.98,0.444,13.876,0.334,0.78,4.011,0.722,0.222,0.194,4.972,2.631,0.081,0.316,0.004,1.902
38,49,50,50,ATL,Skylar Mays,LSU,1,33,269,124,35,30,0.449,0.35,0.88,8.2,3.8,1.1,0.9,0.8,0.14,1.6,0.2,8.27,,,8.27,1630219,Atlanta Hawks,-0.17,-0.44,0.27,-0.05,-0.4,0.35,18.795,0.516,5.832,0.287,0.311,5.265,0.754,0.271,0.202,6.63,4.863,0.149,0.347,0.004,2.455
39,52,53,53,OKC,Cassius Winston,Michigan State,1,22,98,41,9,12,0.424,0.471,0.833,4.5,1.9,0.4,0.5,0.1,0.066,-3,0,10.17,,,10.17,1630216,Washington Wizards,-2.11,-1.24,-0.87,-2.09,-1.23,-0.86,19.209,0.461,9.6,0.32,0.461,4.613,0.756,0.194,0.219,5.739,6.456,0.235,0.322,0.004,3.816
40,53,54,54,IND,Cassius Stanley,Duke,1,24,93,36,20,1,0.302,0.231,0.778,3.9,1.5,0.8,0,-0.1,-0.05,-11.2,-0.2,8,,,8,1630199,Indiana Pacers,-2.72,-1.78,-0.94,-2.73,-1.78,-0.95,18.529,0.474,7.07,0.288,0.376,4.551,0.71,0.229,0.18,8.334,2.188,0.062,0.681,0.008,2.059
41,55,56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,0.667,0.5,,3.9,2.6,0.1,0.4,0.1,0.177,5.4,0.1,-1.82,,,-1.82,1630203,Charlotte Hornets,-1.98,-1.12,-0.86,-1.98,-1.12,-0.86,20.259,0.444,8.402,0.306,0.397,4.073,0.738,0.21,0.219,5.525,6.165,0.195,0.347,0.004,2.923
42,56,57,57,LAC,Reggie Perry,Mississippi State,1,26,211,78,73,14,0.41,0.19,0.769,8.1,3,2.8,0.5,0.2,0.04,-6.7,-0.2,8.02,,,8.02,1629617,Brooklyn Nets,-1.99,-1.35,-0.64,-1.93,-1.33,-0.6,19.505,0.534,7.199,0.294,0.33,5.475,0.678,0.226,0.213,14.348,2.129,0.07,1.228,0.015,3.017
43,57,58,58,PHI,Paul Reed,DePaul,1,26,177,88,61,12,0.538,0,0.5,6.8,3.4,2.3,0.5,0.6,0.162,-0.9,0,7.15,,,7.15,1630194,Philadelphia 76ers,-0.42,-0.19,-0.23,-0.41,-0.14,-0.27,19.345,0.542,1.352,0.239,0.08,5.63,0.629,0.248,0.225,16.455,2.433,0.087,2.686,0.029,3.14
44,59,60,60,NOP,Sam Merrill,Utah State University,1,30,233,89,30,21,0.444,0.447,1,7.8,3,1,0.7,0.5,0.102,-1.4,0,4.04,,,2.51,1630241,Milwaukee Bucks,-1.6,-1.37,-0.23,-1.51,-1.33,-0.18,15.971,0.45,9.765,0.339,0.596,2.675,0.724,0.173,0.159,6.584,2.931,0.087,0.254,0.003,2.321
45,60,1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,0.604,0.333,0.683,31.7,25.7,7,3.2,10.6,0.189,4.6,4.5,11.98,,,11.98,1629627,New Orleans Pelicans,1.3,2.23,-0.93,1.59,2.84,-1.25,26.352,0.598,1.206,0.245,0.06,13.933,0.672,0.529,0.321,10.29,5.461,0.215,0.99,0.01,4.714
46,61,2,2,MEM,Ja Morant,Murray State,2,130,4127,2397,511,953,0.463,0.317,0.75,31.7,18.4,3.9,7.3,7,0.081,-0.2,1.8,-3.32,,,-3.32,1629630,Memphis Grizzlies,-0.66,1.1,-1.76,-1.17,1.19,-2.36,24.185,0.516,7.107,0.321,0.305,8.714,0.751,0.386,0.274,6.18,10.106,0.314,0.367,0.004,4.054
47,62,3,3,NYK,RJ Barrett,Duke,2,128,4215,2067,693,360,0.425,0.37,0.683,32.9,16.1,5.4,2.8,3.6,0.041,-2.7,-0.7,11.98,,,11.98,1629628,New York Knicks,-0.28,-0.29,0.01,-0.92,-0.62,-0.3,20.739,0.478,8.242,0.352,0.4,5.414,0.733,0.273,0.221,8.176,4.074,0.131,0.476,0.006,2.546
48,63,4,4,LAL,De'Andre Hunter,Virginia,2,86,2696,1122,396,156,0.43,0.348,0.799,31.3,13,4.6,1.8,1.8,0.032,-3.3,-0.9,9.61,,,9.61,1629631,Atlanta Hawks,-1.06,-0.85,-0.21,-2.14,-1.36,-0.78,19.651,0.485,6.196,0.336,0.323,5.795,0.768,0.263,0.213,7.419,2.332,0.074,0.604,0.008,2.352
49,64,5,5,CLE,Darius Garland,Vanderbilt,2,113,3614,1669,240,558,0.428,0.374,0.858,32,14.8,2.1,4.9,-0.1,-0.001,-3.6,-1.5,7.79,,,7.79,1629636,Cleveland Cavaliers,-1.74,-0.32,-1.42,-1.43,0.33,-1.76,24.964,0.473,9.279,0.355,0.371,5.275,0.824,0.231,0.267,4.219,8.641,0.31,0.295,0.004,4.541
50,65,6,6,PHO,Jarrett Culver,Texas Tech,2,97,2005,760,316,134,0.406,0.288,0.503,20.7,7.8,3.3,1.4,-0.2,-0.005,-4.6,-1.3,9.56,,,9.56,1629633,Minnesota Timberwolves,-1.82,-1.88,0.07,-1.64,-1.78,0.14,17.458,0.467,6.71,0.304,0.413,4.825,0.577,0.273,0.196,8.219,2.838,0.097,0.916,0.011,2.691
51,66,7,7,CHI,Coby White,UNC,2,134,3830,1900,514,503,0.406,0.357,0.849,28.6,14.2,3.8,3.8,3.3,0.041,-2.7,-0.7,11.35,,,11.35,1629632,Chicago Bulls,-1.49,-0.58,-0.91,-1.57,-0.47,-1.1,22.052,0.491,11.159,0.362,0.523,4.111,0.859,0.201,0.233,6.058,8.118,0.253,0.342,0.004,3.568
52,67,8,8,ATL,Jaxson Hayes,Texas,2,124,2044,921,516,91,0.647,0.389,0.697,16.5,7.4,4.2,0.7,7.4,0.174,0.1,1.1,11.46,,,11.46,1629637,New Orleans Pelicans,-1,-0.67,-0.32,-0.9,-0.22,-0.68,17.307,0.608,1.478,0.29,0.083,7.893,0.752,0.474,0.202,12.395,1.707,0.065,2.22,0.023,2.161
53,68,9,9,WAS,Rui Hachimura,Gonzaga,2,105,3241,1438,606,169,0.473,0.313,0.797,30.9,13.7,5.8,1.6,3.9,0.058,-3.3,-1.1,3.91,,,3.91,1629060,Washington Wizards,-2.54,-1.36,-1.18,-2.67,-1.15,-1.52,16.792,0.509,4.632,0.332,0.275,3.496,0.783,0.212,0.173,8.432,1.668,0.054,0.455,0.004,1.374
54,69,10,10,ATL,Cam Reddish,Duke,2,84,2301,902,320,122,0.378,0.309,0.808,27.4,10.7,3.8,1.5,0,0.001,-4,-1.2,11.98,,,11.98,1629629,Atlanta Hawks,-1.53,-0.99,-0.53,-1.26,-1.31,0.05,16.517,0.471,5.8,0.326,0.379,5.174,0.786,0.253,0.176,7.235,2.368,0.071,0.699,0.008,2.357
